customer_id,order_id,order_date,age,gender,income,purchase_amount,product_category
C15796,O01001,02/02/2024,18,Female,29617,7207,Travel
C861,O01002,04/08/2024,68,Female,21472,2388,Beauty
C5391,O01003,14/12/2024,36,Male,41593,838,Home
C11965,O01004,10/06/2024,62,Male,44395,320,Grocery
C11285,O01005,23/01/2024,44,Male,23272,1486,Beauty
C6266,O01006,08/08/2024,60,Female,41656,4386,Travel
C16851,O01007,05/10/2024,40,Female,40583,3547,Electronics
C4427,O01008,08/04/2024,32,Male,25511,2945,Fashion
C14424,O01009,05/03/2024,40,Male,25262,1516,Fashion
C11364,O01010,27/03/2024,26,Female,23805,3464,Home
C16024,O01011,09/04/2024,59,Male,28889,4763,Home
C8323,O01012,18/11/2024,27,Male,20779,2763,Electronics
C1686,O01013,22/07/2024,54,Male,27590,5554,Home
C770,O01014,22/03/2024,50,Female,30916,5432,Electronics
C2434,O01015,18/02/2024,57,Male,24945,2827,Electronics
C5312,O01016,16/10/2024,57,Male,25560,2659,Fashion
C5052,O01017,28/03/2024,39,Female,25913,4576,Electronics
C6421,O01018,29/07/2024,40,Female,23795,3028,Fashion
C17569,O01019,11/11/2024,58,Female,24138,2574,Fashion
C19770,O01020,02/01/2024,59,Female,27071,3009,Fashion
C6397,O01021,28/06/2024,57,Male,24351,1208,Beauty
C8667,O01022,06/04/2024,48,Female,31069,1683,Grocery
C18943,O01023,29/04/2024,36,Male,35861,691,Beauty
C18432,O01024,17/11/2024,32,Female,25557,4053,Home
C2748,O01025,13/05/2024,55,Male,27831,355,Fashion
C190,O01026,18/06/2024,30,Male,30001,6974,Electronics
C19119,O01027,31/05/2024,44,Female,39090,861,Home
C3006,O01028,28/09/2024,20,Male,26098,1846,Grocery
C1900,O01029,14/10/2024,51,Male,22159,5578,Electronics
C1268,O01030,12/07/2024,45,Female,21835,835,Grocery
C17913,O01031,02/05/2024,28,Male,25322,588,Beauty
C11395,O01032,29/01/2024,39,Female,30901,726,Beauty
C3557,O01033,06/04/2024,41,Female,25452,1132,Home
C3891,O01034,25/11/2024,21,Female,21479,3750,Travel
C8839,O01035,07/08/2024,60,Female,28103,3821,Electronics
C14503,O01036,29/05/2024,56,Male,37612,1769,Electronics
C10628,O01037,29/12/2024,38,Male,20852,3466,Fashion
C8793,O01038,23/03/2024,58,Male,20544,894,Beauty
C10556,O01039,16/09/2024,28,Male,27519,1588,Fashion
C10254,O01040,05/12/2024,63,Male,23692,3135,Fashion
C8434,O01041,13/04/2024,27,Male,20449,5719,Home
C10234,O01042,19/07/2024,46,Female,29445,3911,Fashion
C11017,O01043,18/01/2024,42,Male,20269,1602,Grocery
C2613,O01044,30/01/2024,58,Female,33429,3891,Fashion
C15788,O01045,03/06/2024,69,Female,28124,6223,Travel
C17160,O01046,01/07/2024,68,Male,21087,1253,Beauty
C12207,O01047,27/10/2024,57,Female,18415,1522,Beauty
C8227,O01048,12/12/2024,54,Male,20361,4832,Home
C14542,O01049,30/08/2024,24,Female,28818,1145,Home
C3153,O01050,18/03/2024,34,Male,26845,747,Fashion
C1586,O01051,01/06/2024,26,Female,18611,4304,Home
C3944,O01052,01/09/2024,57,Male,29427,5041,Home
C19458,O01053,14/08/2024,50,Female,24287,2832,Electronics
C1022,O01054,18/04/2024,66,Male,31692,1853,Beauty
C11654,O01055,05/07/2024,39,Female,22326,8711,Travel
C10806,O01056,26/12/2024,64,Female,29217,2518,Electronics
C13418,O01057,24/10/2024,69,Female,31575,2535,Home
C7990,O01058,03/03/2024,65,Male,77577,3724,Electronics
C9693,O01059,16/11/2024,37,Male,28421,1767,Fashion
C12991,O01060,21/10/2024,20,Female,28021,1745,Home
C6874,O01061,23/06/2024,27,Male,45269,2658,Fashion
C5676,O01062,27/05/2024,63,Male,21223,979,Grocery
C162,O01063,25/08/2024,35,Male,27030,821,Beauty
C4298,O01064,01/02/2024,20,Female,22369,1185,Grocery
C996,O01065,05/09/2024,47,Female,18747,1150,Beauty
C11535,O01066,25/07/2024,33,Female,34164,689,Fashion
C7630,O01067,12/04/2024,25,Male,24554,5408,Electronics
C1017,O01068,28/08/2024,67,Female,27507,1432,Grocery
C8530,O01069,08/02/2024,26,Female,26698,1877,Travel
C17263,O01070,29/01/2024,57,Male,21335,1360,Beauty
C9269,O01071,16/11/2024,33,Male,24895,6999,Electronics
C12186,O01072,18/07/2024,23,Male,32069,2177,Electronics
C6332,O01073,10/06/2024,32,Male,29021,961,Beauty
C8572,O01074,13/07/2024,25,Male,19170,1436,Home
C7209,O01075,18/08/2024,58,Female,33400,3625,Fashion
C5277,O01076,18/02/2024,29,Male,21031,2311,Electronics
C18447,O01077,01/06/2024,55,Male,25812,5453,Home
C16449,O01078,20/07/2024,35,Female,39115,4766,Home
C16217,O01079,23/05/2024,36,Female,21595,947,Home
C8007,O01080,11/11/2024,24,Female,31213,516,Grocery
C2569,O01081,13/01/2024,25,Male,35843,6147,Electronics
C2028,O01082,25/11/2024,32,Female,32149,1956,Home
C2696,O01083,28/10/2024,24,Male,33995,5918,Electronics
C15423,O01084,25/04/2024,39,Female,29987,493,Fashion
C5259,O01085,12/08/2024,70,Female,25295,4250,Home
C6737,O01086,21/11/2024,36,Male,25669,1639,Home
C392,O01087,15/07/2024,45,Female,42014,467,Grocery
C13987,O01088,10/09/2024,47,Female,20356,1819,Home
C12667,O01089,13/12/2024,32,Male,25702,2220,Fashion
C5893,O01090,01/03/2024,56,Male,30698,1446,Home
C3562,O01091,04/01/2024,26,Male,27090,5750,Home
C6185,O01092,13/08/2024,27,Male,23584,2473,Home
C19484,O01093,13/12/2024,39,Male,28289,2532,Fashion
C8393,O01094,30/03/2024,41,Male,21548,864,Grocery
C13068,O01095,28/06/2024,37,Male,22342,2961,Fashion
C15266,O01096,27/03/2024,41,Male,27232,1453,Fashion
C19489,O01097,07/11/2024,48,Male,43001,4453,Home
C2455,O01098,23/03/2024,29,Male,35994,939,Fashion
C11838,O01099,19/08/2024,33,Female,23298,2258,Beauty
C14040,O01100,09/11/2024,69,Male,22983,1523,Grocery
C19116,O01101,18/11/2024,21,Female,38086,3877,Fashion
C10966,O01102,31/03/2024,48,Female,29192,1609,Beauty
C9763,O01103,23/10/2024,59,Male,24190,357,Grocery
C5057,O01104,28/11/2024,46,Female,26116,8011,Travel
C14949,O01105,09/02/2024,57,Female,34427,1798,Electronics
C8111,O01106,18/10/2024,67,Female,26979,3000,Fashion
C13774,O01107,21/02/2024,40,Female,26135,1854,Electronics
C17413,O01108,07/04/2024,55,Female,22552,3422,Home
C503,O01109,16/11/2024,43,Female,20799,552,Beauty
C6911,O01110,25/04/2024,52,Female,30557,2198,Fashion
C12686,O01111,17/05/2024,38,Female,22023,6654,Electronics
C207,O01112,06/09/2024,31,Male,19315,9481,Travel
C17869,O01113,16/07/2024,60,Male,27971,5160,Electronics
C15935,O01114,26/11/2024,59,Male,22758,4608,Travel
C17248,O01115,28/05/2024,48,Male,31513,2717,Fashion
C19175,O01116,08/07/2024,37,Female,24983,1506,Beauty
C8756,O01117,17/03/2024,52,Female,40227,2021,Fashion
C12384,O01118,17/05/2024,23,Female,35636,4179,Home
C18142,O01119,24/07/2024,40,Female,19309,3055,Electronics
C14821,O01120,02/12/2024,24,Male,24746,888,Grocery
C7575,O01121,11/09/2024,54,Female,22975,4078,Travel
C6375,O01122,26/09/2024,18,Male,19445,1347,Fashion
C1679,O01123,07/12/2024,22,Male,36979,819,Fashion
C19627,O01124,19/05/2024,22,Male,34976,1403,Grocery
C1060,O01125,29/11/2024,46,Female,31686,880,Beauty
C16199,O01126,27/01/2024,19,Female,24012,6346,Electronics
C9915,O01127,23/05/2024,24,Female,25912,1760,Fashion
C19542,O01128,11/08/2024,32,Male,26650,595,Fashion
C10818,O01129,14/12/2024,47,Male,21777,2318,Travel
C10922,O01130,05/05/2024,22,Male,27391,544,Beauty
C9790,O01131,11/05/2024,49,Female,21836,5384,Electronics
C16313,O01132,15/03/2024,36,Male,27715,6297,Travel
C11253,O01133,06/06/2024,24,Male,35951,3208,Home
C2694,O01134,20/02/2024,35,Female,35240,4310,Home
C13932,O01135,08/10/2024,69,Female,20909,2261,Electronics
C3628,O01136,21/08/2024,37,Female,25678,239,Grocery
C16158,O01137,09/08/2024,43,Female,27448,6766,Electronics
C10174,O01138,29/09/2024,43,Male,59212,5915,Travel
C18048,O01139,02/04/2024,66,Male,38922,4178,Electronics
C10231,O01140,29/02/2024,40,Male,24503,1509,Beauty
C15708,O01141,29/01/2024,65,Male,24210,2697,Home
C11495,O01142,04/08/2024,49,Male,19491,782,Beauty
C1307,O01143,27/04/2024,36,Male,27961,2213,Home
C6777,O01144,17/05/2024,34,Female,32202,707,Grocery
C9475,O01145,29/05/2024,60,Male,36795,1676,Travel
C7527,O01146,02/10/2024,67,Female,27132,3634,Fashion
C5531,O01147,25/09/2024,40,Female,37325,7783,Travel
C3749,O01148,24/07/2024,22,Female,21621,612,Beauty
C13546,O01149,29/01/2024,18,Male,26585,2064,Home
C664,O01150,14/11/2024,23,Male,27905,993,Grocery
C1999,O01151,30/04/2024,50,Male,27033,2712,Home
C7995,O01152,08/05/2024,29,Female,41867,2002,Home
C17880,O01153,03/04/2024,34,Female,34643,708,Grocery
C3305,O01154,11/12/2024,46,Female,29760,6241,Travel
C18238,O01155,11/12/2024,32,Female,50546,4652,Electronics
C13809,O01156,16/08/2024,54,Male,25384,1424,Beauty
C6586,O01157,13/03/2024,62,Female,21063,1999,Electronics
C17676,O01158,12/01/2024,38,Male,28169,2389,Fashion
C19966,O01159,01/06/2024,31,Male,25172,1553,Electronics
C11650,O01160,07/07/2024,57,Male,25971,4892,Home
C1637,O01161,02/11/2024,52,Male,27951,6203,Travel
C17083,O01162,04/01/2024,31,Female,27764,652,Fashion
C4738,O01163,21/04/2024,49,Male,24297,1239,Fashion
C14556,O01164,10/03/2024,31,Female,17077,1731,Electronics
C13878,O01165,29/03/2024,29,Female,31459,611,Grocery
C855,O01166,30/08/2024,69,Female,20423,4122,Electronics
C5856,O01167,13/03/2024,68,Male,33491,1904,Grocery
C7393,O01168,12/11/2024,51,Male,33116,1847,Grocery
C13950,O01169,12/09/2024,70,Female,37350,960,Home
C18092,O01170,26/01/2024,50,Female,31517,2227,Home
C5792,O01171,28/02/2024,30,Female,21657,1185,Beauty
C4932,O01172,08/01/2024,44,Female,24241,4740,Home
C19895,O01173,26/05/2024,36,Female,42753,2183,Electronics
C203,O01174,09/06/2024,44,Male,62203,1751,Electronics
C11448,O01175,14/07/2024,30,Male,21831,1446,Beauty
C12689,O01176,12/01/2024,31,Male,27142,2368,Travel
C4390,O01177,18/07/2024,18,Male,30794,4549,Electronics
C2328,O01178,08/11/2024,33,Male,29003,6307,Electronics
C8005,O01179,22/06/2024,58,Male,25630,1312,Home
C19316,O01180,15/07/2024,32,Female,41874,5764,Home
C7778,O01181,14/10/2024,49,Male,25466,1527,Beauty
C198,O01182,07/07/2024,41,Male,46153,1130,Fashion
C1931,O01183,15/07/2024,24,Male,33258,843,Fashion
C11775,O01184,09/05/2024,35,Female,27302,382,Beauty
C15088,O01185,30/06/2024,36,Female,29121,364,Grocery
C9340,O01186,08/12/2024,22,Male,27332,359,Beauty
C11590,O01187,15/07/2024,39,Male,22546,6229,Electronics
C18896,O01188,11/11/2024,38,Male,28473,6008,Travel
C15709,O01189,17/08/2024,35,Male,23975,773,Beauty
C17044,O01190,22/09/2024,21,Female,40893,4159,Electronics
C2812,O01191,06/01/2024,44,Male,23110,4521,Home
C14244,O01192,07/09/2024,20,Male,31489,3612,Fashion
C6547,O01193,31/07/2024,58,Female,27433,1691,Fashion
C1987,O01194,10/08/2024,62,Male,51529,606,Beauty
C8339,O01195,09/02/2024,53,Female,39224,2630,Fashion
C11412,O01196,10/02/2024,56,Female,25476,3268,Fashion
C2912,O01197,06/04/2024,22,Female,56345,1708,Grocery
C1735,O01198,15/08/2024,28,Male,31493,984,Home
C18228,O01199,14/09/2024,51,Male,27541,2012,Electronics
C8681,O01200,04/09/2024,64,Female,43007,1760,Beauty
C19361,O01201,26/03/2024,34,Male,24619,1177,Beauty
C18344,O01202,08/04/2024,39,Female,27976,8377,Travel
C5760,O01203,15/06/2024,31,Female,37780,1238,Electronics
C2386,O01204,15/05/2024,34,Female,20072,1005,Fashion
C11112,O01205,01/03/2024,53,Male,37018,696,Beauty
C4737,O01206,01/01/2024,41,Male,26298,3102,Fashion
C1803,O01207,06/08/2024,68,Female,19298,2208,Electronics
C8156,O01208,24/06/2024,61,Female,32959,417,Beauty
C8121,O01209,21/02/2024,65,Male,31932,628,Fashion
C6617,O01210,27/11/2024,18,Female,36794,3086,Fashion
C14258,O01211,16/08/2024,26,Male,25712,5464,Electronics
C14487,O01212,07/07/2024,44,Female,21499,5239,Home
C16647,O01213,28/01/2024,56,Male,37653,4779,Travel
C14076,O01214,24/07/2024,63,Male,24678,2046,Fashion
C9209,O01215,13/07/2024,26,Female,24271,2253,Beauty
C16372,O01216,08/11/2024,48,Male,25074,1808,Beauty
C11836,O01217,01/10/2024,65,Female,24530,345,Grocery
C13169,O01218,08/08/2024,25,Female,22558,5118,Home
C2050,O01219,16/08/2024,67,Female,29782,3601,Home
C5424,O01220,03/02/2024,51,Female,20196,3055,Fashion
C14590,O01221,27/06/2024,49,Male,36611,5932,Electronics
C19493,O01222,22/07/2024,67,Male,17083,1046,Grocery
C7159,O01223,23/08/2024,53,Female,21971,247,Grocery
C10249,O01224,05/06/2024,23,Female,19370,1254,Fashion
C7401,O01225,29/10/2024,38,Female,23927,3205,Electronics
C19555,O01226,13/05/2024,39,Female,40140,1656,Beauty
C9875,O01227,08/04/2024,18,Male,21691,3607,Home
C15152,O01228,27/11/2024,69,Female,32350,4857,Travel
