Date,Keyword_City,Keyword_Product,Keyword_Category,Keyword_Channel,Quantity,Unit Price,Total Sales
23-Aug-23,1,1,1,10,8,117905.75,943246
30-Sep-22,2,2,2,10,5,10686.61,53433.05
25-Dec-24,3,3,3,10,9,75367.44,678306.96
20-Sep-22,2,4,4,15,8,58422.23,467377.84
19-Feb-24,3,5,3,10,7,50563.92,353947.44
05-Aug-24,4,4,4,15,5,109903.2,549516
07-Jul-24,5,6,5,10,7,54157.32,379101.24
07-Jun-23,4,5,3,15,10,118084.46,1180844.6
17-Dec-24,1,3,3,15,9,88255.46,794299.14
02-Nov-23,5,3,3,15,2,63880,127760
25-Nov-24,6,4,4,10,1,62833.01,62833.01
21-Jun-23,3,6,5,10,6,111345.87,668075.22
14-Jul-23,7,7,6,15,8,82708.9,661671.2
09-Mar-24,6,3,3,15,3,37120.29,111360.87
12-Jan-22,4,7,6,10,1,24051.17,24051.17
05-Nov-22,6,6,5,15,7,87419.22,611934.54
24-Apr-24,5,8,7,10,9,116628.72,1049658.48
08-Oct-24,4,1,1,15,7,106668.56,746679.92
15-Jan-24,4,6,5,15,1,13610.97,13610.97
28-Feb-24,8,3,3,15,4,31312.97,125251.88
08-Aug-23,4,2,2,15,10,49538.99,495389.9
12-Apr-24,7,7,6,15,5,68343.45,341717.25
05-Jun-23,1,5,3,15,10,94169.47,941694.7
21-Feb-23,3,4,4,15,2,109501.31,219002.62
21-Nov-23,3,1,1,10,7,27084.08,189588.56
10-Aug-24,8,7,6,15,8,15328.52,122628.16
25-Feb-23,6,1,1,15,10,41888.24,418882.4
21-Jan-23,3,5,3,15,5,38477.96,192389.8
23-Oct-23,3,2,2,15,5,63781.81,318909.05
21-Mar-23,5,5,3,10,3,6954.16,20862.48
04-Oct-23,5,7,6,10,9,75877.29,682895.61
02-Apr-22,2,6,5,15,2,84155.17,168310.34
12-Jul-22,7,1,1,10,6,7253.1,43518.6
13-Mar-22,8,8,7,10,7,72428.23,506997.61
25-Dec-22,4,5,3,15,10,52599.57,525995.7
17-Aug-22,6,2,2,15,2,31280.98,62561.96
23-Oct-22,7,7,6,15,1,6485.79,6485.79
27-Jul-23,4,1,1,15,7,70482.32,493376.24
23-May-22,1,5,3,10,5,77095.14,385475.7
10-May-22,3,8,7,15,6,9889.89,59339.34
20-Mar-23,4,7,6,10,8,21802.83,174422.64
16-Jun-24,6,3,3,15,4,101483.56,405934.24
13-Dec-23,8,6,5,10,5,114511.32,572556.6
03-Jan-23,8,3,3,15,7,46504.03,325528.21
23-May-24,4,3,3,15,6,119606.1,717636.6
07-Mar-23,2,8,7,15,3,113956.43,341869.29
21-Sep-24,7,2,2,10,7,36511.95,255583.65
25-Feb-24,2,6,5,15,9,52298.21,470683.89
21-Jul-22,7,8,7,10,8,45696.86,365574.88
27-Jan-24,4,4,4,15,8,46321.71,370573.68
21-Jul-23,8,8,7,15,5,86877.24,434386.2
01-Jun-23,3,1,1,15,9,35438.33,318944.97
09-Apr-24,1,4,4,15,8,70202.31,561618.48
05-Mar-22,6,7,6,10,6,54914.7,329488.2
15-Sep-24,4,4,4,10,9,69306.66,623759.94
30-Jun-23,4,6,5,10,5,102768.14,513840.7
