Date,City,Product,Category,Quantity,Unit Price,Total Sales,Channel
23-Aug-2023,Hyderabad,LED TV,Television,8,117905.75,943246.00,Retail Store
30-Sep-2022,Kolkata,Smartphone,Mobiles,5,10686.61,53433.05,Retail Store
25-Dec-2024,Bengaluru,Headphones,Audio,9,75367.44,678306.96,Retail Store
20-Sep-2022,Kolkata,Smartwatch,Wearables,8,58422.23,467377.84,Online
19-Feb-2024,Bengaluru,Bluetooth Speaker,Audio,7,50563.92,353947.44,Retail Store
5-Aug-2024,Mumbai,Smartwatch,Wearables,5,109903.20,549516.00,Online
7-Jul-2024,Delhi,Laptop,Computers,7,54157.32,379101.24,Retail Store
7-Jun-2023,Mumbai,Bluetooth Speaker,Audio,10,118084.46,1180844.60,Online
17-Dec-2024,Hyderabad,Headphones,Audio,9,88255.46,794299.14,Online
2-Nov-2023,Delhi,Headphones,Audio,2,63880.00,127760.00,Online
25-Nov-2024,Pune,Smartwatch,Wearables,1,62833.01,62833.01,Retail Store
21-Jun-2023,Bengaluru,Laptop,Computers,6,111345.87,668075.22,Retail Store
14-Jul-2023,Chennai,Tablet,Tablets,8,82708.90,661671.20,Online
9-Mar-2024,Pune,Headphones,Audio,3,37120.29,111360.87,Online
12-Jan-2022,Mumbai,Tablet,Tablets,1,24051.17,24051.17,Retail Store
5-Nov-2022,Pune,Laptop,Computers,7,87419.22,611934.54,Online
24-Apr-2024,Delhi,Keyboard,Accessories,9,116628.72,1049658.48,Retail Store
8-Oct-2024,Mumbai,LED TV,Television,7,106668.56,746679.92,Online
15-Jan-2024,Mumbai,Laptop,Computers,1,13610.97,13610.97,Online
28-Feb-2024,Jaipur,Headphones,Audio,4,31312.97,125251.88,Online
8-Aug-2023,Mumbai,Smartphone,Mobiles,10,49538.99,495389.90,Online
12-Apr-2024,Chennai,Tablet,Tablets,5,68343.45,341717.25,Online
5-Jun-2023,Hyderabad,Bluetooth Speaker,Audio,10,94169.47,941694.70,Online
21-Feb-2023,Bengaluru,Smartwatch,Wearables,2,109501.31,219002.62,Online
21-Nov-2023,Bengaluru,LED TV,Television,7,27084.08,189588.56,Retail Store
10-Aug-2024,Jaipur,Tablet,Tablets,8,15328.52,122628.16,Online
25-Feb-2023,Pune,LED TV,Television,10,41888.24,418882.40,Online
21-Jan-2023,Bengaluru,Bluetooth Speaker,Audio,5,38477.96,192389.80,Online
23-Oct-2023,Bengaluru,Smartphone,Mobiles,5,63781.81,318909.05,Online
21-Mar-2023,Delhi,Bluetooth Speaker,Audio,3,6954.16,20862.48,Retail Store
4-Oct-2023,Delhi,Tablet,Tablets,9,75877.29,682895.61,Retail Store
2-Apr-2022,Kolkata,Laptop,Computers,2,84155.17,168310.34,Online
12-Jul-2022,Chennai,LED TV,Television,6,7253.10,43518.60,Retail Store
13-Mar-2022,Jaipur,Keyboard,Accessories,7,72428.23,506997.61,Retail Store
25-Dec-2022,Mumbai,Bluetooth Speaker,Audio,10,52599.57,525995.70,Online
17-Aug-2022,Pune,Smartphone,Mobiles,2,31280.98,62561.96,Online
23-Oct-2022,Chennai,Tablet,Tablets,1,6485.79,6485.79,Online
27-Jul-2023,Mumbai,LED TV,Television,7,70482.32,493376.24,Online
23-May-2022,Hyderabad,Bluetooth Speaker,Audio,5,77095.14,385475.70,Retail Store
10-May-2022,Bengaluru,Keyboard,Accessories,6,9889.89,59339.34,Online
20-Mar-2023,Mumbai,Tablet,Tablets,8,21802.83,174422.64,Retail Store
16-Jun-2024,Pune,Headphones,Audio,4,101483.56,405934.24,Online
13-Dec-2023,Jaipur,Laptop,Computers,5,114511.32,572556.60,Retail Store
3-Jan-2023,Jaipur,Headphones,Audio,7,46504.03,325528.21,Online
23-May-2024,Mumbai,Headphones,Audio,6,119606.10,717636.60,Online
7-Mar-2023,Kolkata,Keyboard,Accessories,3,113956.43,341869.29,Online
21-Sep-2024,Chennai,Smartphone,Mobiles,7,36511.95,255583.65,Retail Store
25-Feb-2024,Kolkata,Laptop,Computers,9,52298.21,470683.89,Online
21-Jul-2022,Chennai,Keyboard,Accessories,8,45696.86,365574.88,Retail Store
27-Jan-2024,Mumbai,Smartwatch,Wearables,8,46321.71,370573.68,Online
21-Jul-2023,Jaipur,Keyboard,Accessories,5,86877.24,434386.20,Online
1-Jun-2023,Bengaluru,LED TV,Television,9,35438.33,318944.97,Online
9-Apr-2024,Hyderabad,Smartwatch,Wearables,8,70202.31,561618.48,Online
5-Mar-2022,Pune,Tablet,Tablets,6,54914.70,329488.20,Retail Store
15-Sep-2024,Mumbai,Smartwatch,Wearables,9,69306.66,623759.94,Retail Store
30-Jun-2023,Mumbai,Laptop,Computers,5,102768.14,513840.70,Retail Store
19-Jul-2022,Jaipur,Tablet,Tablets,7,41121.19,287848.33,Online
12-May-2023,Mumbai,Tablet,Tablets,2,60917.69,121835.38,Online
7-Feb-2023,Mumbai,Bluetooth Speaker,Audio,10,14767.09,147670.90,Online
10-Apr-2024,Delhi,Smartphone,Mobiles,10,96957.41,969574.10,Online
17-Jul-2022,Bengaluru,Bluetooth Speaker,Audio,7,17244.48,120711.36,Retail Store
29-Oct-2024,Chennai,Headphones,Audio,9,58780.99,529028.91,Retail Store
9-Feb-2023,Pune,Tablet,Tablets,7,29410.12,205870.84,Online
7-Aug-2023,Kolkata,Keyboard,Accessories,2,13396.39,26792.78,Retail Store
29-Jun-2023,Delhi,LED TV,Television,7,68664.74,480653.18,Online
18-Jan-2024,Pune,Smartphone,Mobiles,3,88565.92,265697.76,Online
29-Nov-2024,Mumbai,LED TV,Television,6,54005.93,324035.58,Retail Store
29-Apr-2024,Mumbai,Tablet,Tablets,6,76580.33,459481.98,Online
25-Jan-2022,Hyderabad,LED TV,Television,7,85390.30,597732.10,Online
20-Aug-2023,Kolkata,Laptop,Computers,4,44232.93,176931.72,Online
8-Aug-2023,Delhi,Tablet,Tablets,10,79963.25,799632.50,Retail Store
18-Nov-2024,Chennai,Keyboard,Accessories,8,57446.33,459570.64,Retail Store
3-Dec-2022,Jaipur,Smartphone,Mobiles,7,90306.15,632143.05,Retail Store
13-Aug-2022,Kolkata,Bluetooth Speaker,Audio,7,50215.19,351506.33,Online
28-May-2023,Kolkata,Headphones,Audio,8,32394.67,259157.36,Online
28-Dec-2023,Hyderabad,Keyboard,Accessories,3,69603.91,208811.73,Online
3-Sep-2024,Hyderabad,LED TV,Television,10,10484.02,104840.20,Online
14-Mar-2024,Chennai,Headphones,Audio,6,86437.13,518622.78,Retail Store
26-Jan-2024,Delhi,Smartwatch,Wearables,9,72787.47,655087.23,Online
1-Feb-2022,Bengaluru,Laptop,Computers,9,71780.71,646026.39,Retail Store
19-Jan-2023,Mumbai,Smartphone,Mobiles,10,55550.36,555503.60,Online
28-May-2024,Chennai,LED TV,Television,1,55212.70,55212.70,Retail Store
25-Jun-2024,Delhi,Bluetooth Speaker,Audio,7,112212.81,785489.67,Retail Store
11-Aug-2023,Bengaluru,Tablet,Tablets,1,10242.43,10242.43,Retail Store
24-Mar-2023,Kolkata,Smartphone,Mobiles,7,32027.94,224195.58,Retail Store
18-Feb-2024,Hyderabad,Smartphone,Mobiles,4,109702.42,438809.68,Online
21-Jul-2023,Jaipur,Bluetooth Speaker,Audio,5,102652.55,513262.75,Retail Store
31-May-2023,Chennai,Smartwatch,Wearables,4,16520.98,66083.92,Online
12-Jul-2022,Kolkata,Headphones,Audio,10,6847.61,68476.10,Retail Store
25-Aug-2024,Pune,Bluetooth Speaker,Audio,5,17015.71,85078.55,Online
4-Nov-2024,Bengaluru,Headphones,Audio,7,78673.97,550717.79,Online
26-Jul-2024,Mumbai,Smartphone,Mobiles,6,32608.58,195651.48,Retail Store
24-May-2023,Delhi,Smartwatch,Wearables,9,66953.23,602579.07,Online
13-May-2022,Bengaluru,Smartphone,Mobiles,10,13239.69,132396.90,Retail Store
11-Nov-2024,Kolkata,Laptop,Computers,9,23604.25,212438.25,Retail Store
22-Aug-2024,Delhi,Bluetooth Speaker,Audio,1,84820.56,84820.56,Online
14-Feb-2023,Bengaluru,Headphones,Audio,8,5881.23,47049.84,Online
8-Sep-2023,Hyderabad,Smartwatch,Wearables,6,41218.47,247310.82,Online
19-Apr-2023,Delhi,Bluetooth Speaker,Audio,9,85113.17,766018.53,Online
27-Jan-2023,Bengaluru,Headphones,Audio,4,51490.86,205963.44,Retail Store
22-Feb-2022,Jaipur,Keyboard,Accessories,8,97890.54,783124.32,Online
25-Apr-2022,Mumbai,Smartphone,Mobiles,9,107909.51,971185.59,Retail Store
18-Oct-2022,Bengaluru,Smartphone,Mobiles,7,105816.09,740712.63,Retail Store
16-Aug-2023,Kolkata,Headphones,Audio,9,9358.71,84228.39,Retail Store
19-Sep-2022,Chennai,Tablet,Tablets,3,28957.83,86873.49,Online
13-Sep-2023,Kolkata,Bluetooth Speaker,Audio,6,54106.58,324639.48,Online
19-Dec-2023,Jaipur,Smartphone,Mobiles,7,73462.89,514240.23,Retail Store
28-Jan-2022,Delhi,LED TV,Television,9,89834.89,808514.01,Retail Store
8-May-2024,Pune,Bluetooth Speaker,Audio,8,54404.76,435238.08,Retail Store
5-Feb-2024,Bengaluru,Tablet,Tablets,6,51186.72,307120.32,Retail Store
26-Mar-2024,Delhi,Headphones,Audio,2,111776.42,223552.84,Online
28-Mar-2024,Mumbai,Tablet,Tablets,6,112969.87,677819.22,Online
