OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price
SO - 000101,In-Store,WARE-UHY1004,31/12/2017,31/05/2018,14/06/2018,19/06/2018,USD,6,15,257,12,5.01,0.07,1001.18,1963.1
SO - 000102,Online,WARE-NMK1003,31/12/2017,31/05/2018,22/06/2018,02/07/2018,USD,14,20,198,27,3.05,0.08,3348.66,3939.6
SO - 000103,Distributor,WARE-UHY1004,31/12/2017,31/05/2018,21/06/2018,01/07/2018,USD,21,16,212,16,1.03,0.05,781.22,1775.5
SO - 000104,Wholesale,WARE-NMK1003,31/12/2017,31/05/2018,02/06/2018,07/06/2018,USD,28,48,108,23,8.01,0.07,1464.69,2324.9
SO - 000105,Distributor,WARE-NMK1003,10/04/2018,31/05/2018,16/06/2018,26/06/2018,USD,22,49,111,26,8,0.1,1476.14,1822.4
SO - 000106,Online,WARE-PUJ1005,31/12/2017,31/05/2018,08/06/2018,13/06/2018,USD,12,21,284,1,5.01,0.05,446.56,1038.5
SO - 000107,In-Store,WARE-XYS1001,31/12/2017,31/05/2018,08/06/2018,14/06/2018,USD,10,14,4,5,4.01,0.15,536.67,1192.6
SO - 000108,In-Store,WARE-PUJ1005,10/04/2018,31/05/2018,26/06/2018,01/07/2018,USD,6,9,279,46,4.94,0.05,1525.19,1815.7
SO - 000109,In-Store,WARE-PUJ1005,31/12/2017,01/06/2018,16/06/2018,21/06/2018,USD,4,9,301,47,4.01,0.3,2211.2,3879.3
SO - 000110,In-Store,WARE-UHY1004,31/12/2017,01/06/2018,29/06/2018,01/07/2018,USD,10,33,261,13,7.97,0.05,1212.97,1956.4
SO - 000111,Distributor,WARE-XYS1001,31/12/2017,01/06/2018,15/06/2018,20/06/2018,USD,23,21,19,38,6.01,0.1,124.62,201
SO - 000112,In-Store,WARE-NMK1003,10/04/2018,01/06/2018,07/06/2018,17/06/2018,USD,10,21,152,40,4.97,0.15,2762.28,6277.9
SO - 000113,In-Store,WARE-PUJ1005,10/04/2018,01/06/2018,22/06/2018,02/07/2018,USD,4,36,318,39,5.01,0.05,641.66,1051.9
SO - 000114,In-Store,WARE-PUJ1005,10/04/2018,01/06/2018,07/06/2018,15/06/2018,USD,8,17,289,32,6.02,0.15,216.41,254.6
SO - 000115,In-Store,WARE-NMK1003,31/12/2017,01/06/2018,15/06/2018,20/06/2018,USD,9,32,137,6,6.02,0.15,3146.32,3932.9
SO - 000116,In-Store,WARE-MKL1006,31/12/2017,01/06/2018,24/06/2018,02/07/2018,USD,5,11,354,25,2.98,0.05,700.69,1112.2
