OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,Delivery_days,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost(In USD),Unit Price(in USD),USD_rate,Unit_priceinINR,Unit_costinINR
SO - 000101,In-Store,WARE-UHY1004,31-Dec-2017,31-May-2018,14-Jun-2018,19-Jun-2018,5,USD,6,15,259,12,5,0.075,"1,001.18","1,963.10",88,172752.8,88103.84
SO - 000102,Online,WARE-NMK1003,31-Dec-2017,31-May-2018,22-Jun-2018,2-Jul-2018,10,USD,14,20,196,27,3,0.075,"3,348.66","3,939.60",88,346684.8,294682.08
SO - 000103,Distributor,WARE-UHY1004,31-Dec-2017,31-May-2018,21-Jun-2018,1-Jul-2018,10,USD,21,16,213,16,1,0.05,781.22,"1,775.50",88,156244,68747.36
SO - 000104,Wholesale,WARE-NMK1003,31-Dec-2017,31-May-2018,2-Jun-2018,7-Jun-2018,5,USD,28,48,107,23,8,0.075,"1,464.69","2,324.90",88,204591.2,128892.72
SO - 000105,Distributor,WARE-NMK1003,10-Apr-2018,31-May-2018,16-Jun-2018,26-Jun-2018,10,USD,22,49,111,26,8,0.1,"1,476.14","1,822.40",88,160371.2,129900.32
SO - 000106,Online,WARE-PUJ1005,31-Dec-2017,31-May-2018,8-Jun-2018,13-Jun-2018,5,USD,12,21,285,1,5,0.05,446.56,"1,038.50",88,91388,39297.28
SO - 000107,In-Store,WARE-XYS1001,31-Dec-2017,31-May-2018,8-Jun-2018,14-Jun-2018,6,USD,10,14,6,5,4,0.15,536.67,"1,192.60",88,104948.8,47226.96
SO - 000108,In-Store,WARE-PUJ1005,10-Apr-2018,31-May-2018,26-Jun-2018,1-Jul-2018,5,USD,6,9,280,46,5,0.05,"1,525.19","1,815.70",88,159781.6,134216.72
SO - 000109,In-Store,WARE-PUJ1005,31-Dec-2017,1-Jun-2018,16-Jun-2018,21-Jun-2018,5,USD,4,9,299,47,4,0.3,"2,211.20","3,879.30",88,341378.4,194585.6
SO - 000110,In-Store,WARE-UHY1004,31-Dec-2017,1-Jun-2018,29-Jun-2018,1-Jul-2018,2,USD,10,33,261,13,8,0.05,"1,212.97","1,956.40",88,172163.2,106741.36
SO - 000111,Distributor,WARE-XYS1001,31-Dec-2017,1-Jun-2018,15-Jun-2018,20-Jun-2018,5,USD,23,21,17,38,6,0.1,124.62,201,88,17688,10966.56
